employer,employer_display,filing_count,quarters_present,quarters,repeat_sponsor,soc_codes,soc_titles,worksite_states,worksite_cities,wage_annual_min,wage_annual_median,wage_annual_max
POINT APOGEE,"POINT APOGEE, INC",1,1,FY2025Q4,no,17-2071,Electrical Engineers,WA,BOTHELL,98000.0,98000.0,98000.0
PRO VISION SOLUTIONS,"Pro-Vision Solutions, LLC",1,1,FY2026Q1,no,17-2071,Electrical Engineers,MI,Byron Center,87000.0,87000.0,87000.0
PURDUE UNIVERSITY,Purdue University,1,1,FY2025Q4,no,17-2071,Electrical Engineers,IN,West Lafayette,56759.0,56759.0,56759.0
PYKA,Pyka Inc.,1,1,FY2025Q4,no,17-2071,Electrical Engineers,CA,Alameda,113400.0,113400.0,113400.0
QUALITY DESIGN SERVICES,"Quality Design Services, Inc",1,1,FY2025Q4,no,17-2071,Electrical Engineers,MI,OKEMOS,65000.0,65000.0,65000.0
QUEST GLOBAL SERVICES N A,"QUEST GLOBAL SERVICES- N.A., INC.",1,1,FY2026Q1,no,17-2071,Electrical Engineers,WI,Waukesha,,,
RAVENVOLT,"Ravenvolt, Inc.",1,1,FY2026Q1,no,17-2071,Electrical Engineers,GA,Cumming,82400.0,82400.0,82400.0
REDLINE TECHNICAL SERVICES,Redline Technical Services LLC,1,1,FY2026Q1,no,17-2071,Electrical Engineers,NV,Fallon,85000.0,85000.0,85000.0
RENSSELAER POLYTECHNIC INSTITUTE,Rensselaer Polytechnic Institute,1,1,FY2025Q4,no,17-2071,Electrical Engineers,NY,Troy,60000.0,60000.0,60000.0
RLC ENGINEERING PLLC,"RLC Engineering, PLLC",1,1,FY2025Q4,no,17-2071,Electrical Engineers,ME,South Portland,105000.0,105000.0,105000.0
S E T PACIFIC,"S.E.T. Pacific, Inc.",1,1,FY2026Q1,no,17-2071,Electrical Engineers,GU,Tamuning,55182.0,55182.0,55182.0
SANHUA INTERNATIONAL,Sanhua International Inc.,1,1,FY2026Q1,no,17-2071,Electrical Engineers,MI,Auburn Hills,80600.0,80600.0,80600.0
SCHINDLER ELEVATOR CORPORATION,Schindler Elevator Corporation,1,1,FY2025Q4,no,17-2071,Electrical Engineers,NJ,Morristown,84490.0,84490.0,84490.0
SEAH STEEL USA,"SEAH STEEL USA, LLC",1,1,FY2025Q4,no,17-2071,Electrical Engineers,TX,HOUSTON,125000.0,125000.0,125000.0
SEATRIUM AMFELS,"Seatrium AmFELS, Inc.",1,1,FY2025Q4,no,17-2071,Electrical Engineers,TX,Brownsville,63648.0,63648.0,63648.0
SEGULA TECHNOLOGIES USA,"SEGULA TECHNOLOGIES USA, INC.",1,1,FY2026Q1,no,17-2071,Electrical Engineers,MI,Chelsea,76960.0,76960.0,76960.0
SEWON AMERICA,"Sewon America, Inc.",1,1,FY2025Q4,no,17-2071,Electrical Engineers,GA,Rincon,77000.0,77000.0,77000.0
SGS NORTH AMERICA,"SGS NORTH AMERICA, INC.",1,1,FY2025Q4,no,17-2071,Electrical Engineers,CA,San Diego,84573.0,84573.0,84573.0
