employer,employer_display,filing_count,quarters_present,quarters,repeat_sponsor,soc_codes,soc_titles,worksite_states,worksite_cities,wage_annual_min,wage_annual_median,wage_annual_max
IPEVO,"IPEVO, INC.",1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,CA,Sunnyvale,66893,66893,66893
ISHOPSHOPS,"iShopShops, Inc",1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,NY,New York,61797,61797,61797
ISOFTSTONE,"iSoftStone, Inc.",1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,CA,San Francisco,68000,68000,68000
ITALK GLOBAL COMMUNICATIONS,"iTalk Global Communications, Inc",1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,VA,McLean,80000,80000,80000
IVY ENTERPRISES,"IVY Enterprises, Inc.",1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,NY,Port Washington,61797,61797,61797
JAC RECRUITMENT US,"JAC Recruitment (US), Inc.",1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,NJ,Cherry Hill,48818,48818,48818
JEBARA CO,"Jebara & Co., LLC",1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,NY,New York,61797,61797,61797
JI YUE EXPRESS,Ji Yue Express LLC,1,1,FY2026Q1,no,13-1161,Market Research Analysts and Marketing Specialists,CA,Placentia,70000,70000,70000
JODI GROUP,"JODI Group, Inc.",1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,CA,San Francisco,84219,84219,84219
JOE BANANAS CA,JOE BANANAS CA LLC,1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,CA,NEWPORT BEACH,65000,65000,65000
JW CAT GROUP,JW CAT Group LLC,1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,DE,MIDDLETOWN,66000,66000,66000
